name,release_date,english,developer,publisher,platforms,required_age,categories,genres,tags,achievements,average_playtime,price,short_description,estimated_sells,rating
ArcaniA: Fall of Setarrif,2011-10-24,1,Spellbound Studios,THQ Nordic,windows,0,Single-player,RPG,RPG;Singleplayer;Adventure,0,5,13.99,"Face the last challenge - determine destiny! A new threat casts its shadow over the Southern Isles. A mysterious demon, consumed by hatred, terrifies the population and pools his force against the coastal city of Setarrif. The dramatic situation exacerbates after a volcanic eruption in the mountains nearby.",27176,Negative
RUSH,2010-12-03,1,Two Tribes,Two Tribes Publishing,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,Casual;Indie;Strategy,Puzzle;Indie;Casual,25,53,3.99,"From the twisted puzzle minds behind the award winning Toki Tori comes a new game, simply called RUSH. Fortunately for fans of high quality puzzle games, RUSH is anything but simple. In the game's fully three dimensional levels, players need to guide cubes to color coded exit points using Conveyor belts, Warps, Stops Signs, Splits and...",93694,Positive
Minds Eyes,2016-08-31,1,Stanislaw Truchowski,TurnVex,windows,0,Single-player,Action;Adventure;Free to Play;Indie,Horror;Free to Play;Multiplayer,0,73,0.0,"You venture through your mind, trying desperately to wake up from your nightmares. Will you make it out?",52572,Mixed
NEKOPALIVE,2016-05-31,1,NEKO WORKs,Sekai Project,windows,16,Single-player;Partial Controller Support,Casual;Free to Play,Anime;Free to Play;VR,0,0,0.0,"The catgirls of La Soleil takes to the stage and steps into the spotlight with their very own live concert. Dancing, singing, MIX'ing and purring, this is the NEKOPARA event that comes right home to you, and you got the best seat in the house!",62764,Very Positive
BlazBlue Centralfiction,2017-04-25,1,Arc System Works,"H2 Interactive Co., Ltd.",windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Anime;Fighting;2D Fighter,48,2910,29.99,"Combining 2D fighting game and visual novel, the BlazBlue series has been supported by many fighting game fans. The latest installation, BlazBlue: Centralfiction, serves as the ending to the Azure Saga and reveals the truth that has ever been in mystery.",101824,Positive
Crusaders of the Lost Idols,2015-10-13,1,Codename Entertainment Inc.,Codename Entertainment Inc.,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Free to Play;Indie,Free to Play;Clicker;Casual,96,581,0.0,"Crusaders of the Lost Idols is an idle game of heroic awesomeness! Create a band of fighters to fight monsters, earn gold and create strategies for the perfect formations over multiple campaigns! Upgrade your heroes, collect unique gear, and unlock new Crusaders in regular new events.",134416,Positive
Puzzler World,2010-05-28,1,Ideas Pad,Puzzler,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Casual,Casual;Puzzle;Singleplayer,14,0,4.99,"Puzzler World brings over 1200 puzzles of 8 popular puzzle types to your PC. Conceptis picture logic puzzle fans will be happy to know that in addition to Crossword, Wordsearch, Fitword, Sudoku, Codeword, Spot the Difference and Silhouette puzzles, Puzzler World also offers 83 Conceptis Link-a-Pix available in sizes of 10x10, 20x20 and...",26544,Positive
The Bluecoats: North vs South,2015-02-02,1,Little World Studio,Microids,windows;mac,0,Single-player;Multi-player;Shared/Split Screen;Steam Trading Cards,Action;Strategy,Strategy;Action;Casual,0,0,3.99,1861. The Civil War has been declared in the United States. Two clans are fighting: The abolitionist Union and the pro-slavery Confederates. NORTH vs SOUTH is inspired from THE BLUE COATS comic book. You'll relive the biggest events of this battle with Sergeant Chesterfield and Corporal Butch.,16182,Negative
Let Them Come,2017-10-03,1,Tuatara Games,Versus Evil,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Violent;Gore;Action;Indie,Action;Gore;Indie,26,0,3.99,Let Them Come is a fast paced pixel art shoot ‘em up. Twitchy trigger fingers and focused battle tactics are the order of the day as wave after wave of alien-like creatures try to take you down.,16211,Positive
Madu Maths,2017-09-01,1,Tzar Leonardi,Tzar Leonardi,windows;mac,0,Single-player,Casual;Free to Play;Indie,Free to Play;Casual;Indie,15,0,0.0,"Based on a school curriculum, Madu Maths tests primary school kids in addition and subtraction as they help bees collect honey for their hive. A solo developer effort, Madu Maths boasts challenging gameplay coupled with an original score and organic graphics to make for a fulfilling experience.",4816,Mostly Positive
The Secret Order 2: Masked Intent,2015-11-05,1,Sunward Games,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Casual;Adventure;Hidden Object,24,224,6.99,Become the wayfarer through the past to force back the evil power!,12896,Mostly Positive
Vainglory,2019-02-13,1,Super Evil Megacorp,Super Evil Megacorp,windows;mac,0,Online Multi-Player;Cross-Platform Multiplayer;In-App Purchases,Free to Play;Strategy;Early Access,Early Access;Free to Play;MOBA,0,0,0.0,"Vainglory is an award winning free-to-play cross-platform MOBA featuring incredible graphics, precision controls and competitive gameplay parity across all platforms. Vainglory lets you party with your friends and match up with players around the world on desktop or mobile!",70200,Mixed
Riff Racer - Race Your Music!,2016-05-12,1,FOAM Entertainment,FOAM Entertainment,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Indie;Racing,Racing;Indie;Music,38,146,6.99,"Create arcade stunt racetracks from audio in your music library, or from a selection of 25 bundled songs. Race the music to stay in sync. Score big by pulling off jumps, drifts and rolls. Challenge other racers to your favourite tracks. Have you got what it takes to win at your favourite song?",78884,Positive
Out of the Park Baseball 19,2018-03-22,1,Out of the Park Developments,Out of the Park Developments,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop,Indie;Simulation;Sports;Strategy,Baseball;Sports;Simulation,78,0,15.49,"Out of the Park Baseball 19 - officially licensed by MLB and the MLBPA - is the 2018 entry in the world's best-rated sports gaming franchise! Guide your favorite MLB team to glory, play any historical season or compete online in Perfect Team. A baseball fan's dream come true!",22344,Positive
Puzzler World 2,2011-10-24,1,Ideas Pad,Puzzler,windows,0,Single-player,Casual;Indie;Strategy,Casual;Indie;Strategy,17,61,4.99,"The highly anticipated sequel to last year’s PC hit, Puzzler World 2 brings more puzzles, new games, fun rewards and an all new Master Mode.",15326,Mostly Positive
Project CARS,2015-03-15,1,Slightly Mad Studios,Slightly Mad Studios;BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;VR Support;Partial Controller Support;Steam Leaderboards,Racing;Simulation;Sports,Racing;Simulation;Driving,45,232,23.39,Project CARS is the ultimate driver journey!,702956,Mostly Positive
One Troll Army,2016-05-19,1,FlyAnvil,tinyBuild,windows;mac,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Casual;Indie;Strategy,Strategy;Free to Play;Indie,15,14,0.0,"Play as a giant troll in One Troll Army - a defense game about building forts, upgrading your troll, and fighting off waves of enemies. Play Against The Twitch Chat!",57460,Positive
Mushroom Wars,2016-04-07,1,Zillion Whales;Creat Studios,Zillion Whales,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie;Strategy,Strategy;Action;Indie,15,556,6.99,"Mushroom Wars is a dynamic real-time strategy game, where smart strategy meets furious action in epic PvP and PvE battles.",17732,Mostly Positive
BrainBread 2,2016-07-20,1,Reperio Studios,Reperio Studios,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Captions available;Steam Workshop;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes level editor;Includes Source SDK,Action;Adventure;Free to Play;Indie;Early Access,Early Access;Free to Play;Zombies,84,46,0.0,"Grab a weapon, demolish your enemies, level up, become more powerful, let the gore flow, let the limbs fly. BrainBread 2 introduces a zombie fps mixed with RPG / Arcade elements, the game is very action-packed and generally fast-paced.",176540,Mixed
Beast Battle Simulator,2018-02-22,1,DOG HOGGLER,DOG HOGGLER,windows,0,Single-player,Violent;Gore;Action;Indie;Simulation;Sports;Strategy,Simulation;Strategy;Action,0,0,6.99,"Beast Battle Simulator is a physics based battle-simulation sandbox game featuring dinosaurs, animals, and humans. Kamikaze Zebras VS. T-Rex with laser guns, Lions VS. medieval knights; anything is possible! Watch as the beasts dismember and rip each other apart in gory detail!",14896,Positive
Shadows Peak,2017-03-13,1,Andrii Vintsevych,Andrii Vintsevych,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Horror;Adventure;Survival Horror,21,0,7.19,"Shadows Peak is an atmospheric, open-world horror game focused on exploration that doesn't hold your hand. You play as a writer who has decided to visit a mysterious place called Shadows Peak to gather materials for a new book about legends.",8643,Mixed
Avadon 2: The Corruption,2013-10-30,1,Spiderweb Software,Spiderweb Software,windows;mac,0,Single-player;Steam Achievements,Indie;RPG;Strategy,RPG;Indie;Strategy,30,4,6.99,"Avadon 2: The Corruption is a huge, indie fantasy role-playing adventure, the second chapter in the epic Avadon trilogy. You will serve the keep of Avadon, working as a spy and warrior to fight the enemies of your homeland. As a servant of the Black Fortress, your word is law.",10507,Mostly Positive
Strategic War in Europe,2014-03-21,1,Wastelands Interactive,Wastelands Interactive,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Indie;Strategy,Strategy;Indie;World War II,64,247,10.99,"Set during the events of WW2, Strategic War in Europe is a classic turn-based strategy game that combines a deep strategic layer with accessibility and ease-of-use.",10008,Negative
Hektor,2015-03-13,1,Rubycone,Rubycone,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure;Indie,Horror;Indie;Action,16,64,6.99,"Experience terrors only madness can conjure in HEKTOR, a psychological horror game set in a world that literally moves with your every twist and turn.",57784,Mixed
Night Mysteries: The Amphora Prisoner,2015-02-26,1,Anvate Games,Anvate Games,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual,Casual;Adventure;Hidden Object,0,227,1.69,"You'll enjoy a whole lot of fascinating minigames, an excellent quest for the necessary items, and a captivating and outstanding storyline. A great atmosphere and storyline provide the deepest possible gameplay involvement.",6758,Mixed
Monster Slayers,2017-03-23,1,Nerdook Productions,Digerati Distribution,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Card Game;Action,22,875,5.99,Monster Slayers is a rogue-like deck-building RPG adventure. Create a hero and choose your path through the perilous Northern Valley as you battle to become a true Monster Slayer.,29541,Mostly Positive
Deepworld,2015-04-22,1,Bytebin,Bytebin,windows,0,MMO;Cross-Platform Multiplayer,Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,Early Access;Free to Play;Massively Multiplayer,0,374,0.0,"Deepworld is a massively-multiplayer 2D crafting adventure game. Mine and craft your way through a persistent online universe where there's always something new to discover. Battle frightening monsters, mysterious automatons, and other players in PvP!",44020,Mixed
S2ENGINE HD,2016-04-08,1,Profenix Studio SRLS,Profenix Studio SRLS,windows,0,Partial Controller Support;Includes level editor,Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Game Development,Game Development;Design & Illustration;Animation & Modeling,0,0,14.99,"S2 ENGINE HD is a complete general-purpose software kit for developing and running videogames, specifically dedicated to PC game hobbyists and enthusiasts. Its simplicity lets them turn on their computers and create amazing visuals in minutes just as if they were professionals.",8424,Mixed
Unruly Heroes,2019-01-23,1,Magic Design Studios,Magic Design Studios,windows,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Adventure;Action;Puzzle-Platformer,26,0,17.99,"Madcap Action, Martial Arts, Monkey King and More!",8604,Mostly Positive
Contrast,2013-11-15,1,Compulsion Games,Focus Home Interactive,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Female Protagonist;Noir;Indie,22,91,8.49,"CONTRAST is a puzzle/platform game where you can move between a fantastic 3D world and a mysterious shadowy universe in 2D in the blink of an eye. Delve into a dreamlike and surreal 1920s world, inspired by the performance art world of vaudeville and film noir, and cradled by a smooth and sultry jazz ambiance.",350997,Positive
Carp Fishing Simulator,2015-04-28,1,Dangerous Derk Interactive,Dangerous Derk Interactive,windows,0,Single-player;Partial Controller Support;Steam Cloud;Steam Leaderboards,Simulation;Sports;Early Access,Early Access;Simulation;Sports,0,0,9.99,"Carp Fishing Simulator is the most advanced, authentic fishing experience on the market.Fish from any peg on 5 venues containing Mirror Carp, Common Carp, Grass Carp, Ghost Koi,Tench, Bream, Catfish, Sturgeon, Perch, Pike &amp; Zander.Use up to 3 rods, a Spod rod, Marker rod and bait Boat.Earn coins by catching fish.",9362,Negative
Flight Control HD,2010-11-18,1,Firemint,Firemint,windows;mac,0,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action;Casual,Casual;Action;Arcade,16,85,2.99,Control a never-ending stream of aircraft in this insanely addictive worldwide hit from Firemint! You’re an air traffic controller at an increasingly busy airport; just point and drag aircraft to their landing zones with your mouse or trackpad. Sounds easy? It isn’t!,34918,Positive
Making History: The Second World War,2018-04-27,1,Factus Games,Factus Games,windows;mac;linux,0,Single-player;Multi-player;Steam Workshop;Includes level editor,Indie;Simulation;Strategy,Strategy;Simulation;World War II,103,0,22.99,"Choose a nation and prepare for the greatest conflict in human history, World War II. Build your military and industrial power, form alliances and race to achieve the advanced technologies that will bring total victory in this global-wide turn-based Grand Strategy struggle.",4294,Mixed
Shovel Knight: Specter of Torment,2017-04-05,1,Yacht Club Games,Yacht Club Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Action;Indie;Adventure,20,0,6.99,"Take control of Specter Knight, servant to the Enchantress, in a quest to recruit a cadre of knights and create the Order of No Quarter. Experience perfect platforming, world-class visuals, impeccable stage design, incredible music, and even meet a friend or two in Shovel Knight: Specter of Torment!",5676,Positive
Big Bang Empire,2016-08-23,1,Playata GmbH,European Games Group AG,windows,16,Single-player;MMO;Cross-Platform Multiplayer;In-App Purchases,Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Strategy,Nudity;Sexual Content;Mature,0,5193,0.0,"Conquer the blue movie Olympus in this fun &amp; kinky RPG. Collect ludicrous items, level up your stats and compete with other stars!",34216,Mixed
Peregrin,2017-08-08,1,Domino Digital Limited,Green Man Gaming Publishing,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Casual;Adventure;Indie,27,0,10.99,"Peregrin is a story puzzle game. A solitary traveller undertakes a perilous voyage through the haunted ruins of a lost civilisation. Seeking to fulfil an ancient prophecy, she will have to use her arcane powers to solve puzzles and survive battles - if she is to find a way to restore the fallen world of Peregrin.",6106,Mostly Positive
Ittle Dew,2013-07-23,1,Ludosity,Ludosity,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Adventure;Indie,Adventure;Puzzle;Indie,15,266,7.19,"Adventuress Ittle Dew and her sidekick Tippsie crash onto a strange island, filled with loot and mysterious inhabitants. It quickly dawns on the duo that this might become their biggest adventure yet.Ittle Dew boils down the classic adventure formula until there is only fun left.",79711,Very Positive
Bitardia,2015-11-20,1,varlamov5264,varlamov5264,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support,Action;Adventure;Indie;Early Access,Early Access;Memes;Adventure,37,0,3.99,"In Bitardia you will experience all the rules of the Internet in action, and venture on a journey in the spirit of classic low-budget shooters, making your way through the obstacles of the fantastic world of an imageboard.",40486,Positive
AXYOS,2018-08-01,1,Axyos Games,Axyos Games,windows,0,Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,Action;Indie;Massively Multiplayer,Action;Massively Multiplayer;FPS,21,320,3.99,AXYOS is an experimental shooter with some MOBA gameplay elements. Upgrade yourself in the game session to lead your team to win!,78964,Negative
Knights and Merchants,2013-10-14,1,Topware Interactive,Topware Interactive,windows;mac;linux,0,Single-player;Multi-player;Steam Trading Cards,Simulation;Strategy,Strategy;Medieval;City Builder,0,239,4.99,"KNIGHTS and MERCHANTS recreates the era of the Middle Ages. Apart from the purely fictitious geography of our world, all game elements and scenes are based on the Anglo-Saxon period, 1200 A.D. And we haven't used imaginary elements like fabled creatures, either. The player takes on the role of an ordinary captain in the Palace Guard.",225624,Positive
Bullshot,2016-11-22,1,GATO STUDIO,GATO STUDIO,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Indie;Action;Retro,42,0,0.79,"Help Frank F. Franky fight the evil cardesians, zombies &amp; robots while setting your arrested friends free. Bullshot is a run 'n gun game that tries to recover the essence of the 90s classics, such as Abuse, Contra or the Metal Slug sagas.",14144,Mostly Positive
12 Labours of Hercules,2015-03-23,1,Jetdogs Studios;Zoom Out Games,Jetdogs Studios,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual;Strategy,Casual;Time Management;Strategy,22,298,1.99,"Accompany Hercules on a quest to rescue his wife, kidnapped by the evil Hades in 12 Labours of Hercules! You'll meet heroes from Ancient Greece as you vanquish beasts, repair roads and construct wonders in this stunning Time Management game!",157914,Very Positive
WARTILE,2018-02-08,1,Playwood Project,Deck13;WhisperGames,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Indie;RPG;Strategy,RPG;Strategy;Indie,58,0,14.99,Wartile is a cool-down based strategy game in which you control a warband of Viking figurines in a miniature universe inspired by Norse mythology. Unravel its secrets and rein the powers of the gods.,16568,Mostly Positive
The Detail,2014-10-28,1,Rival Games Ltd,Rival Games Ltd,windows;mac;linux,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats,Adventure;Indie,Adventure;Indie;Point & Click,55,289,2.09,"The Detail, a crime noir adventure in a modern American city. This is a city where cases matter, clearance rates matter, and on a good day even justice matters.",39312,Mostly Positive
Gender Bender DNA Twister Extreme,2015-11-23,1,Transcendent Games,Transcendent Games,windows;mac;linux,18,Single-player;Steam Trading Cards,Indie;Simulation,Nudity;Visual Novel;Anime,0,0,18.99,A Romantic Comedy Visual Novel about a group of characters who are spontaneously transformed into members of the opposite sex.,11594,Mixed
RESIDENT EVIL 2 / BIOHAZARD RE:2,2019-01-24,1,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Zombies;Survival Horror;Horror,43,841,44.99,"A deadly virus engulfs the residents of Raccoon City in September of 1998, plunging the city into chaos as flesh eating zombies roam the streets for survivors. An unparalleled adrenaline rush, gripping storyline, and unimaginable horrors await you. Witness the return of Resident Evil 2.",936900,Very Positive
Subnautica,2018-01-23,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support,Adventure;Indie,Survival;Open World;Exploration,17,1446,19.49,"Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive.",3631584,Very Positive
Axis Football 2016,2016-07-29,1,Axis Games,Axis Games,windows;mac;linux,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Commentary available,Simulation;Sports,Sports;Simulation;Football,16,0,14.99,Axis Football is a an American football simulation featuring innovative aimed passing and massive customization.,6240,Mixed
Heaven Will Be Mine,2018-07-25,1,Pillow Fight Games;Worst Girls Games,Pillow Fight Games,windows;mac;linux,0,Single-player;Steam Achievements;Captions available,Indie,Indie;Visual Novel;Female Protagonist,12,0,11.39,HEAVEN WILL BE MINE is a visual novel about making terrible life decisions in the midst of a hot-blooded battle between giant robots. Select one of three terribly behaved girls to fight and/or make out with each other in their struggle for the fate of space.,6042,Very Positive
Little Witch Academia: Chamber of Time,2018-05-15,1,"APLUS Co., Ltd",BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;RPG,Adventure;Anime;RPG,25,0,34.99,Uncover the mysteries at Luna Nova Academy and experience the magical world of Studio Trigger style Japanese animation in Little Witch Academia: Chamber of Time.,18012,Positive
Supipara - Chapter 1 Spring Has Come!,2016-07-29,1,minori,MangaGamer,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure,Adventure;Visual Novel;Anime,0,0,10.99,"Spring has come, and our protagonist, Yukinari, returns home after 7 years. Between his second cousin Sakura, who meets him outside in a full maid outfit, Hotaru, a half-Japanese beauty with a sharp tongue, and the lazy scheming witch Alice - life just got way more interesting!",9568,Very Positive
Sonic Forces,2017-11-07,1,Sonic Team;Hardlight,SEGA,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Great Soundtrack;Adventure;Character Customization,48,0,34.99,The fate of Sonic the Hedgehog’s world is in your hands – Join the Uprising.,137643,Mixed
Griptape Backbone,2017-05-05,1,StevenHarmonGames,StevenHarmonGames,windows;mac;linux,0,Single-player,Indie,Indie;Great Soundtrack;Atmospheric,0,0,0.0,A relaxing meditative and Zen like first person vaporwave skateboarding game. An interactive mixtape.,16297,Positive
Professional Lumberjack 2015,2015-03-05,1,PlayWay S.A.,BANDAI NAMCO Entertainment;United Independent Entertainment GmbH,windows,0,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud,Simulation,Simulation;Singleplayer,0,0,14.99,"Face the hard work of real lumberjacks as you control and operate various small and large machinery at your disposal. From huge Feller Buncher and Harvesters that debranch and cut up the trunks, to tractors, cranes, trucks and trailers for the transportation of the chopped logs.",6262,Negative
Five Nights at Freddy's,2014-08-19,1,Scott Cawthon,Scott Cawthon,windows,0,Single-player,Indie;Simulation,Horror;Singleplayer;Survival Horror,0,474,3.99,"Welcome to your new summer job at Freddy Fazbear's Pizza, where kids and parents alike come for entertainment and food! The main attraction is Freddy Fazbear, of course; and his two friends. They are animatronic robots, programmed to please the crowds!",1293336,Positive
Tannenberg,2017-11-16,1,Blackmill Games;M2H,M2H,windows;mac;linux,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie;Strategy,World War I;Multiplayer;FPS,67,94,15.49,"Experience authentic First World War action with 64 player battles of maneuver on the Eastern Front. Grab your rifle, ready your sabre and keep your gas mask close as you prepare to play a part in one of the most significant conflicts in history!",155918,Positive
Evochron Legacy,2016-01-18,1,StarWraith 3D Games LLC,StarWraith 3D Games LLC,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Simulation,Simulation;Indie;Space,8,0,18.99,"Advanced Space Flight, Combat, Trading, and Exploration Simulation. Set in a vast explorable universe, Evochron Legacy offers freeform gameplay with many diverse objectives and paths to choose from.",14040,Mostly Positive
Community Inc,2017-08-03,1,T4 Interactive,tinyBuild,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Simulation;Strategy,Indie;Simulation;Strategy,11,0,10.99,"As a new Manager, build a happy community and trade with other races... for profit. Yes, that's right, we need their happiness so we can power up our portals. The Lings, your workers, will obey you and help you with your village. But beware, they can cause a lot of problems too.",6364,Negative
